"Date","Price","Open","High","Low","Vol.","Change %"
"13-05-2022","258.60","254.95","260.85","254.50","11.92M","2.88%"
"12-05-2022","251.35","253.44","254.83","247.62","20.04M","-1.08%"
"11-05-2022","254.09","257.41","260.60","250.21","17.34M","-2.18%"
"10-05-2022","259.75","262.00","266.80","259.10","18.03M","-0.61%"
"09-05-2022","261.34","264.52","264.52","258.95","21.40M","-1.99%"
"06-05-2022","266.65","259.00","267.35","258.90","34.49M","1.76%"
"05-05-2022","262.05","262.00","265.20","260.40","17.93M","0.89%"
"04-05-2022","259.75","264.00","266.05","258.60","25.95M","-1.29%"
"02-05-2022","263.15","258.00","264.50","257.05","18.97M","1.39%"
"29-04-2022","259.55","263.00","263.00","258.50","20.42M","-0.59%"
"28-04-2022","261.10","259.50","263.70","258.15","27.92M","1.40%"
"27-04-2022","257.50","256.20","258.50","255.75","16.58M","-0.56%"
"26-04-2022","258.95","256.60","260.70","256.25","20.54M","1.45%"
"25-04-2022","255.25","258.80","259.00","252.50","24.21M","-2.24%"
"22-04-2022","261.10","260.00","263.00","258.55","15.67M","0.27%"
"21-04-2022","260.40","259.70","264.45","259.60","23.41M","0.33%"
"20-04-2022","259.55","262.90","265.45","257.55","24.51M","-0.76%"
"19-04-2022","261.55","272.00","272.50","258.80","23.38M","-2.57%"
"18-04-2022","268.45","266.36","270.83","265.61","24.40M","-0.41%"
"13-04-2022","269.55","265.30","270.60","263.65","21.41M","2.42%"
"12-04-2022","263.18","265.27","267.01","261.49","23.55M","-1.62%"
"11-04-2022","267.50","268.75","273.15","266.00","46.15M","0.50%"
"08-04-2022","266.16","256.42","267.20","254.43","37.83M","3.71%"
"07-04-2022","256.65","258.00","262.20","255.80","16.06M","-1.14%"
"06-04-2022","259.60","257.50","263.35","257.30","19.60M","0.06%"
"05-04-2022","259.45","256.05","261.85","255.10","27.18M","1.57%"
"04-04-2022","255.45","253.10","257.90","251.10","15.91M","0.85%"
"01-04-2022","253.30","250.00","255.35","248.80","14.31M","1.06%"
"31-03-2022","250.65","249.60","254.35","249.50","25.66M","0.58%"
"30-03-2022","249.20","255.10","256.40","248.65","17.60M","-2.12%"
"29-03-2022","254.60","257.05","257.50","253.75","18.12M","-0.95%"
"28-03-2022","257.05","254.00","258.00","252.55","24.92M","1.46%"
"25-03-2022","253.35","255.30","255.75","249.25","29.28M","-0.59%"
"24-03-2022","254.85","251.95","256.50","251.45","38.24M","1.13%"
"23-03-2022","252.00","251.45","253.70","248.50","40.49M","0.90%"
"22-03-2022","249.75","244.55","250.75","243.55","36.95M","2.15%"
"21-03-2022","244.50","245.90","247.75","243.80","27.98M","-0.16%"
"17-03-2022","244.90","245.25","245.40","242.70","34.22M","0.95%"
"16-03-2022","242.60","240.00","243.00","239.10","21.63M","2.00%"
"15-03-2022","237.85","239.00","241.40","235.90","33.00M","-0.48%"
"14-03-2022","239.00","236.25","239.45","235.30","35.11M","1.12%"
"11-03-2022","236.35","231.90","237.10","230.15","41.70M","1.88%"
"10-03-2022","232.00","231.00","232.50","227.85","36.13M","1.20%"
"09-03-2022","229.25","227.70","231.40","226.10","42.29M","1.04%"
